#righello piccolo con il bulbo
5.72000000000000e+002	1.65400000000000e+003
6.89000000000000e+002	1.65700000000000e+003
8.50000000000000e+002	1.66100000000000e+003
1.01500000000000e+003	1.66600000000000e+003
1.18500000000000e+003	1.67200000000000e+003
1.36000000000000e+003	1.67600000000000e+003
1.53300000000000e+003	1.67700000000000e+003
1.70700000000000e+003	1.68500000000000e+003
1.87900000000000e+003	1.68700000000000e+003
2.05200000000000e+003	1.68800000000000e+003
2.22500000000000e+003	1.69100000000000e+003
2.39600000000000e+003	1.69500000000000e+003
2.56500000000000e+003	1.69600000000000e+003
2.73000000000000e+003	1.69800000000000e+003
2.89400000000000e+003	1.70000000000000e+003