Record Length,2500,Points,-249.99998E-6,3.20000,,Record Length,2500,Points,-249.99998E-6,5.04000,
Sample Interval,200.00000E-9,s,-249.79998E-6,3.16000,,Sample Interval,200.00000E-9,s,-249.79998E-6,5.04000,
Trigger Point,1.2500E3,Samples,-249.59998E-6,3.20000,,Trigger Point,1.2500E3,Samples,-249.59998E-6,5.04000,
,,,-249.39998E-6,3.20000,,,,,-249.39998E-6,5.04000,
,,,-249.19998E-6,3.16000,,,,,-249.19998E-6,5.04000,
,,,-248.99998E-6,3.16000,,,,,-248.99998E-6,5.04000,
Source,CH1,,-248.79997E-6,3.16000,,Source,CH2,,-248.79997E-6,5.04000,
Vertical Units,Volts,,-248.59997E-6,3.12000,,Vertical Units,Volts,,-248.59997E-6,-40.00000E-3,
Vertical Scale,1.000,,-248.39997E-6,3.12000,,Vertical Scale,1.000,,-248.39997E-6,0.0,
Vertical Offset,0,,-248.19997E-6,3.16000,,Vertical Offset,0,,-248.19997E-6,0.0,
Horizontal Units,s,,-248.00000E-6,3.12000,,Horizontal Units,s,,-248.00000E-6,40.00000E-3,
Horizontal Scale,50.00000E-6,,-247.80000E-6,3.12000,,Horizontal Scale,50.00000E-6,,-247.80000E-6,0.0,
Pt Fmt,Y,,-247.59999E-6,3.16000,,Pt Fmt,Y,,-247.59999E-6,0.0,
Yzero,-3.04000,,-247.39999E-6,3.12000,,Yzero,-2.0000,,-247.39999E-6,79.999998E-3,
Probe Atten,10.0000,,-247.19999E-6,3.12000,,Probe Atten,10.0000,,-247.19999E-6,40.00000E-3,
,,,-246.99999E-6,3.12000,,,,,-246.99999E-6,0.0,
Note,TDS 1012C-EDU - 18:14:54   04/04/2017,,-246.79999E-6,3.12000,,Note,TDS 1012C-EDU - 18:14:54   04/04/2017,,-246.79999E-6,79.999998E-3,
,,,-246.59999E-6,3.08000,,,,,-246.59999E-6,40.00000E-3,
,,,-246.39998E-6,3.12000,,,,,-246.39998E-6,40.00000E-3,
,,,-246.19998E-6,3.12000,,,,,-246.19998E-6,40.00000E-3,
,,,-245.99998E-6,3.12000,,,,,-245.99998E-6,0.0,
,,,-245.79998E-6,3.12000,,,,,-245.79998E-6,79.999998E-3,
,,,-245.59998E-6,3.16000,,,,,-245.59998E-6,40.00000E-3,
,,,-245.39998E-6,3.12000,,,,,-245.39998E-6,40.00000E-3,
,,,-245.19998E-6,3.16000,,,,,-245.19998E-6,40.00000E-3,
,,,-244.99997E-6,3.16000,,,,,-244.99997E-6,40.00000E-3,
,,,-244.79997E-6,3.16000,,,,,-244.79997E-6,40.00000E-3,
,,,-244.59997E-6,3.12000,,,,,-244.59997E-6,40.00000E-3,
,,,-244.39997E-6,3.16000,,,,,-244.39997E-6,40.00000E-3,
,,,-244.20000E-6,3.12000,,,,,-244.20000E-6,40.00000E-3,
,,,-243.99998E-6,3.12000,,,,,-243.99998E-6,0.0,
,,,-243.79998E-6,3.12000,,,,,-243.79998E-6,0.0,
,,,-243.59998E-6,3.12000,,,,,-243.59998E-6,40.00000E-3,
,,,-243.39998E-6,3.12000,,,,,-243.39998E-6,79.999998E-3,
,,,-243.19999E-6,3.20000,,,,,-243.19999E-6,79.999998E-3,
,,,-242.99999E-6,3.12000,,,,,-242.99999E-6,40.00000E-3,
,,,-242.79999E-6,3.20000,,,,,-242.79999E-6,40.00000E-3,
,,,-242.59998E-6,3.12000,,,,,-242.59998E-6,79.999998E-3,
,,,-242.39998E-6,3.12000,,,,,-242.39998E-6,79.999998E-3,
,,,-242.19998E-6,3.12000,,,,,-242.19998E-6,40.00000E-3,
,,,-241.99998E-6,3.12000,,,,,-241.99998E-6,40.00000E-3,
,,,-241.79998E-6,3.16000,,,,,-241.79998E-6,40.00000E-3,
,,,-241.59998E-6,3.12000,,,,,-241.59998E-6,79.999998E-3,
,,,-241.39998E-6,3.12000,,,,,-241.39998E-6,40.00000E-3,
,,,-241.19999E-6,3.12000,,,,,-241.19999E-6,40.00000E-3,
,,,-240.99999E-6,3.12000,,,,,-240.99999E-6,0.0,
,,,-240.79999E-6,3.16000,,,,,-240.79999E-6,0.0,
,,,-240.59998E-6,3.16000,,,,,-240.59998E-6,40.00000E-3,
,,,-240.39998E-6,3.12000,,,,,-240.39998E-6,40.00000E-3,
,,,-240.19998E-6,3.16000,,,,,-240.19998E-6,40.00000E-3,
